DataType,ACT,Name,REP,TR,FR,EN_S,TIM_S,EN,SUB,OV_EN,OV_TIM
game1,encrypt,AES,1,32.0,2800.0,14.1,-1.62,6578.06,0.53,9965851.05,82044247.2
app4,encrypt,AES,1,32.0,2400.0,34.3,-19.26,3671.5241,0.7,10653648.178,99383363.4
game1,encrypt,3DES,1,32.0,2400.0,11.63,-21.22,13397.99,0.7,40143506.9,349601749.3
enwik9,encrypt,AES,1,32.0,2500.0,15.54,-19.07,10319.886,0.83,28892405.66,253696827.2
app4,encrypt,3DES,1,32.0,2000.0,12.75,-44.31,8411.59,0.52,19260129.0,182398323.1
enwik9,encrypt,3DES,1,32.0,2200.0,6.57,-31.54,20420.58,0.89,75596305.7,677028040.6
game1,decrypt,3DES,1,32.0,2300.0,9.07,-24.99,5372.798,0.63,18252160.79,169510703.4
enwik9,decrypt,3DES,1,32.0,2000.0,-6.47,-43.96,9529.596,0.7,38463667.45,357481388.3
app4,decrypt,3DES,1,32.0,1800.0,9.24,-57.93,3902.408,0.81,16243642.32,148353935.3
enwik4,encrypt,Whirlpool,1,32.0,2700.0,3.74,-9.16,5629.33,0.31,5244368.58,43138215.36
enwik4,encrypt,SHA2,1,32.0,2200.0,24.55,-47.61,2868.545,0.56,6850378.044,63546655.14
