csvs/pigz_compress_full_avg,cr_audio1.wav,1,26.0,2900.0,3.97,8.77,140.01,0.01,10732.5,37.3
csvs/pigz_compress_full_avg,cr_audio1.wav,1,11.0,2300.0,-38.06,-98.25,201.29,0.03,40426.3,245.8
csvs/pigz_compress_full_avg,cr_audio1.wav,1,31.0,2500.0,9.73,-3.51,131.61,0.02,16322.9,78.9
csvs/pigz_compress_full_avg,cr_audio1.wav,1,7.0,1700.0,-100.84,-278.95,292.82,0.02,54578.9,473.2
csvs/pigz_compress_full_avg,cr_audio1.wav,1,25.0,1800.0,0.05,-47.37,145.72,0.03,27485.8,178.2
csvs/pigz_compress_full_avg,cr_audio1.wav,1,12.0,2000.0,-29.73,-96.49,189.15,0.03,28876.8,173.8
csvs/pigz_compress_full_avg,cr_audio1.wav,1,25.0,2500.0,4.57,-8.77,139.13,0.04,30467.5,116.4
csvs/pigz_compress_full_avg,cr_audio1.wav,1,27.0,2800.0,4.87,7.02,138.7,0.04,26496.5,105.3
csvs/pigz_compress_full_avg,cr_audio1.wav,1,12.0,1400.0,-49.32,-173.68,217.71,0.05,96032.5,769.0
csvs/pigz_compress_full_avg,cr_audio1.wav,1,5.0,1600.0,-169.36,-454.39,392.72,0.04,169096.2,1582.2
