01,1900.0,32,10.25,-30.24,1662.32139987
02,2400.0,16,33.58,35.23,89.655362125
03,2800.0,16,7.32,-4.42,604.278993125
04,2700.0,16,9.9,2.23,200.633987625
05,2700.0,16,17.2,8.98,492.623159875
06,2400.0,16,-1.34,-13.89,403.449179875
07,2200.0,32,14.36,-5.49,347.825029625
08,2901.0,16,12.14,20.24,335.696541375
09,2800.0,4,50.16,8.57,5191.30320975
10,2800.0,32,8.81,4.61,1016.9260995
11,2500.0,32,8.09,-8.13,56.393392875
12,2000.0,16,-8.96,-44.68,325.09178075
13,2700.0,16,25.32,23.15,3043.70057262
14,2500.0,8,21.02,-24.4,189.75673375
16,2901.0,1,11.66,20.95,1646.5367185
17,2900.0,8,51.29,25.59,1513.7327535
18,2400.0,32,8.42,0.58,2340.53265063
19,2300.0,32,2.85,-23.47,357.869584125
20,2901.0,8,4.63,19.15,261.599014625
21,2400.0,16,8.33,-15.35,803.2114105
22,2700.0,8,-1.11,-8.83,504.906150625
